embedding_size_100_x,embedding_size_100_val_acc,embedding_size_100_val_loss,embedding_size_100_train_acc,embedding_size_100_train_loss,embedding_size_200_x,embedding_size_200_val_acc,embedding_size_200_val_loss,embedding_size_200_train_acc,embedding_size_200_train_loss,embedding_size_300_x,embedding_size_300_val_acc,embedding_size_300_val_loss,embedding_size_300_train_acc,embedding_size_300_train_loss,embedding_size_500_x,embedding_size_500_val_acc,embedding_size_500_val_loss,embedding_size_500_train_acc,embedding_size_500_train_loss,embedding_size_1000_x,embedding_size_1000_val_acc,embedding_size_1000_val_loss,embedding_size_1000_train_acc,embedding_size_1000_train_loss
0.65,70.99800399201597,0.6254431984641335,73.87693846923462,0.6225009977817535,0.65,71.61676646706587,0.6063626842065291,74.63231615807904,0.5986618056893349,0.65,71.8562874251497,0.596507424657995,75.34767383691846,0.5879913628101349,0.65,71.91616766467065,0.5870656316930597,75.86293146573287,0.57723258882761,0.65,72.61477045908184,0.5797700231725519,76.08304152076037,0.5704822152853012
1.65,78.90219560878243,0.545270480892875,84.52726363181591,0.4992045909166336,1.65,78.84231536926147,0.5331577387723055,86.20310155077539,0.4796222187578678,1.65,79.58083832335329,0.5275496163151481,87.22361180590295,0.4686670519411564,1.65,79.8003992015968,0.5238931937651201,88.09904952476238,0.46084378734230996,1.65,79.9001996007984,0.5139605646783655,88.68934467233616,0.45165482461452483
2.65,79.76047904191617,0.5104984966191378,89.02951475737869,0.4536296486854553,2.65,79.88023952095809,0.5063826848160137,90.27513756878439,0.4391629993915558,2.65,79.44111776447106,0.5066880123181776,90.7503751875938,0.4324695222079754,2.65,79.68063872255489,0.5034771344878457,91.56578289144572,0.4244729824364185,2.65,79.60079840319361,0.5022049112753435,92.20110055027514,0.4168971762061119
3.65,79.7005988023952,0.5116291289979761,91.81590795397699,0.42450663521885873,3.65,79.58083832335329,0.5116354037414897,93.21160580290145,0.41098843738436697,3.65,79.04191616766467,0.5114214284853502,93.5167583791896,0.40500423684716225,3.65,78.98203592814372,0.5137826637788252,94.12206103051525,0.3988069161772728,3.65,78.54291417165669,0.5132405784997073,94.59729864932466,0.3928587004542351
4.65,79.34131736526946,0.522828530181538,93.5167583791896,0.4067459598183632,4.65,79.18163672654691,0.5269335616718639,94.49224612306153,0.3944382339715958,4.65,78.44311377245509,0.5286917849020525,95.12756378189094,0.3883862607181072,4.65,77.90419161676647,0.5331425124948675,95.44272136068034,0.3834571249783039,4.65,77.54491017964072,0.5387622497298501,95.65782891445723,0.3793094702064991
5.65,79.18163672654691,0.5060931444168091,94.4072036018009,0.39998406618833543,5.65,78.70259481037924,0.5089594992724332,95.5127563781891,0.3875781662762165,5.65,77.9441117764471,0.5135134323076769,96.07803901950976,0.3817083388566971,5.65,77.96407185628742,0.5136083662509918,96.52326163081541,0.3762181639671326,5.65,77.72455089820359,0.5142468837174502,96.80340170085043,0.3707649037241936
6.65,79.22155688622755,0.5153285292061892,94.41220610305153,0.3983345218002796,6.65,78.72255489021956,0.5177585076202046,95.6328164082041,0.38572516441345217,6.65,78.16367265469061,0.5202119187875227,96.23311655827914,0.37968076542019846,6.65,78.02395209580838,0.5208441019058228,96.60830415207604,0.3739322699606419,6.65,77.72455089820359,0.5239117308096453,97.0535267633817,0.36811687871813775
7.65,79.24151696606786,0.5139504237608477,94.65232616308154,0.3968728207051754,7.65,78.58283433133732,0.5191267837177623,95.83291645822912,0.3841813713312149,7.65,78.00399201596807,0.5207146839662031,96.38819409704853,0.3780729867517948,7.65,77.80439121756487,0.5251877741380171,96.85342671335668,0.37214330211281776,7.65,77.72455089820359,0.5254328901117499,97.27863931965983,0.366096068918705
8.65,79.24151696606786,0.5259935314005072,94.76238119059529,0.3950326792895794,8.65,78.60279441117764,0.5298078439452432,95.93296648324161,0.38230220079421995,8.65,77.86427145708583,0.5323604128577493,96.52326163081541,0.37617462053894996,8.65,77.96407185628742,0.5352122025056318,96.97348674337168,0.370250990986824,8.65,77.76447105788424,0.5374657999385487,97.43371685842922,0.36406838372349737
9.65,79.12175648702595,0.4993535280227661,94.85742871435718,0.393543765693903,9.65,78.62275449101796,0.5029011829332872,95.99799899949976,0.3808030940592289,9.65,77.8443113772455,0.507242890921506,96.61830915457729,0.37463598027825357,9.65,77.88423153692615,0.5091001337224786,97.11855927963983,0.3686930060386658,9.65,77.54491017964072,0.5119231993501837,97.56378189094548,0.3623889498412609
