sentence_length_50_x,sentence_length_50_val_acc,sentence_length_50_val_loss,sentence_length_50_train_acc,sentence_length_50_train_loss,sentence_length_100_x,sentence_length_100_val_acc,sentence_length_100_val_loss,sentence_length_100_train_acc,sentence_length_100_train_loss,sentence_length_250_x,sentence_length_250_val_acc,sentence_length_250_val_loss,sentence_length_250_train_acc,sentence_length_250_train_loss,sentence_length_500_x,sentence_length_500_val_acc,sentence_length_500_val_loss,sentence_length_500_train_acc,sentence_length_500_train_loss,sentence_length_1000_x,sentence_length_1000_val_acc,sentence_length_1000_val_loss,sentence_length_1000_train_acc,sentence_length_1000_train_loss
0.65,66.22754491017965,0.6481585177508268,69.63981990995498,0.6349773645401001,0.65,70.45908183632734,0.6263520771806891,73.98699349674837,0.6102086961269378,0.65,76.54690618762476,0.6068639375946738,77.81890945472736,0.5978154182434082,0.65,76.62674650698602,0.6068487384102561,77.35867933966983,0.5981723263859748,0.65,75.44910179640719,0.6087149435823614,77.24862431215608,0.594547413289547
1.65,73.85229540918164,0.5833853537386114,81.52576288144073,0.5305231258273124,1.65,79.18163672654691,0.5383756323294207,85.35267633816909,0.49245680645108225,1.65,83.99201596806387,0.5008332891897722,88.35417708854428,0.4648370027542114,1.65,86.0878243512974,0.4890498329292644,89.30965482741371,0.4549308352172375,1.65,85.96806387225548,0.495043394240466,89.53976988494247,0.45556958243250845
2.65,74.47105788423154,0.5600274692882191,85.93296648324161,0.4825421765446663,2.65,80.15968063872255,0.5089521326801993,89.63981990995498,0.44709500968456267,2.65,85.1497005988024,0.4682078686627475,92.19109554777388,0.4219182305037975,2.65,87.26546906187625,0.4538979557427493,92.9464732366183,0.41243195757269857,2.65,87.64471057884232,0.45155310088937933,93.01650825412706,0.41203551962971685
3.65,73.87225548902195,0.5653813914819197,88.67933966983492,0.45503288358449934,3.65,79.88023952095809,0.5137858932668512,92.0760380190095,0.42092462852597234,3.65,84.750499001996,0.46479578722607007,94.01700850425213,0.4005300596356392,3.65,86.82634730538922,0.4491878097707575,94.4872436218109,0.39278594925999644,3.65,87.52495009980039,0.44658489389853046,94.55227613806903,0.3913737930357456
4.65,73.11377245508982,0.5513951615853743,90.56028014007003,0.4366878241300583,4.65,79.18163672654691,0.5109522911635312,93.71685842921461,0.4046955406665802,4.65,84.17165668662675,0.4594073566523465,95.1375687843922,0.3863687179982662,4.65,86.30738522954091,0.44964228705926373,95.4527263631816,0.3801164157688618,4.65,86.20758483033931,0.4463228258219632,95.46773386693347,0.3785995811223984
5.65,72.65469061876247,0.5760884176601063,91.41070535267635,0.4300117246806622,5.65,79.14171656686626,0.5244769860397686,94.48224112056027,0.39695786535739896,5.65,84.79041916167665,0.4715864279053428,96.17808904452227,0.37739543840289114,5.65,86.94610778443113,0.4562798630107533,96.62831415707853,0.3701371394097805,5.65,87.64471057884232,0.4526037871837616,96.74337168584292,0.36921545416116713
6.65,72.63473053892216,0.5493572083386508,91.69584792396198,0.42788893505930903,6.65,79.06187624750498,0.5015855837952007,94.61730865432716,0.3953531190752983,6.65,84.89021956087825,0.453290966424075,96.23311655827914,0.3762242369353771,6.65,86.94610778443113,0.43786241520534863,96.76338169084542,0.36905706822872164,6.65,87.70459081836327,0.43470179492777045,96.84342171085542,0.3681402415037155
7.65,72.43512974051896,0.5659636692567305,91.73586793396699,0.4260044455528259,7.65,79.06187624750498,0.5092654824256897,94.8624312156078,0.39366267397999766,7.65,84.83033932135729,0.4542917175726457,96.36818409204602,0.3748346619307995,7.65,86.86626746506985,0.44032285701144824,96.90845422711355,0.3677356354892254,7.65,87.66467065868264,0.4367508888244629,96.92346173086543,0.3667861558496952
8.65,72.53493013972056,0.5658064755526456,91.94597298649325,0.4243449755012989,8.65,78.9620758483034,0.5141411911357533,94.97748874437218,0.3921886935830116,8.65,84.83033932135729,0.46526715701276605,96.45322661330665,0.37364387139678,8.65,86.84630738522954,0.4464380307631059,96.94847423711856,0.36661258414387704,8.65,87.68463073852296,0.4434987821362235,97.02851425712856,0.3656759798526764
9.65,72.41516966067864,0.5747558366168629,92.00100050025013,0.422842538356781,9.65,79.02195608782435,0.5167359249158339,95.1375687843922,0.39104204773902895,9.65,84.47105788423154,0.4679314467039975,96.63331665832916,0.3725167833268642,9.65,86.98602794411178,0.4470984475179152,97.02351175587793,0.3656862251460552,9.65,87.36526946107784,0.44349543072960596,97.00850425212606,0.3646660454571247
