tokenization_d_x,tokenization_d_val_acc,tokenization_d_val_loss,tokenization_d_train_acc,tokenization_d_train_loss,tokenization_ws_x,tokenization_ws_val_acc,tokenization_ws_val_loss,tokenization_ws_train_acc,tokenization_ws_train_loss,tokenization_p_x,tokenization_p_val_acc,tokenization_p_val_loss,tokenization_p_train_acc,tokenization_p_train_loss,tokenization_l_x,tokenization_l_val_acc,tokenization_l_val_loss,tokenization_l_train_acc,tokenization_l_train_loss,tokenization_stem_x,tokenization_stem_val_acc,tokenization_stem_val_loss,tokenization_stem_train_acc,tokenization_stem_train_loss,tokenization_p_ws_sw_stem_l_x,tokenization_p_ws_sw_stem_l_val_acc,tokenization_p_ws_sw_stem_l_val_loss,tokenization_p_ws_sw_stem_l_train_acc,tokenization_p_ws_sw_stem_l_train_loss,tokenization_n_l_x,tokenization_n_l_val_acc,tokenization_n_l_val_loss,tokenization_n_l_train_acc,tokenization_n_l_train_loss,tokenization_a_l_x,tokenization_a_l_val_acc,tokenization_a_l_val_loss,tokenization_a_l_train_acc,tokenization_a_l_train_loss,tokenization_v_l_x,tokenization_v_l_val_acc,tokenization_v_l_val_loss,tokenization_v_l_train_acc,tokenization_v_l_train_loss,tokenization_a_n_v_l_x,tokenization_a_n_v_l_val_acc,tokenization_a_n_v_l_val_loss,tokenization_a_n_v_l_train_acc,tokenization_a_n_v_l_train_loss
0.65,75.72854291417165,0.6116027886217291,77.70885442721361,0.5998904928565025,0.65,75.94810379241517,0.6090554811737754,77.4487243621811,0.5989834561944007,0.65,75.90818363273453,0.6065237576311285,78.38419209604803,0.5982907488942146,0.65,76.92614770459082,0.6114438338713213,78.72436218109054,0.6046101614832878,0.65,76.92614770459082,0.6137277754870328,77.85392696348174,0.6091938212513923,0.65,81.11776447105788,0.5616989189928229,83.18659329664833,0.5463242560625077,0.65,70.79840319361277,0.6166896007277749,74.72736368184093,0.6003245711326599,0.65,77.2055888223553,0.5606126676906239,80.93546773386693,0.5401331156492233,0.65,69.66067864271457,0.6323105909607627,71.61580790395197,0.6227432921528816,0.65,79.14171656686626,0.576104771007191,81.25062531265633,0.5641162604093551
1.65,86.00798403193613,0.48689458857883106,89.5447723861931,0.4569401562213898,1.65,85.58882235528942,0.4842374243519523,89.37968984492247,0.4562057085335255,1.65,85.54890219560878,0.48209086331454193,89.53976988494247,0.4523254558444023,1.65,86.30738522954091,0.48361111229116266,89.47973986993497,0.45393731966614725,1.65,85.78842315369262,0.49152821844274347,88.75937968984492,0.46249724105000495,1.65,86.58682634730539,0.46387782963839447,91.3656828414207,0.42568785324692726,1.65,77.08582834331337,0.5428605025464838,84.05702851425713,0.5029218442738056,1.65,80.6187624750499,0.5103352449157021,87.38869434717358,0.467583904415369,1.65,75.62874251497006,0.5680656107989225,79.71985992996498,0.5428507149219512,1.65,86.48702594810379,0.45661957426504657,90.3151575787894,0.4372583694756031
2.65,87.06586826347305,0.45677304538813507,93.03151575787894,0.4135798990726471,2.65,87.2055888223553,0.4573132179000161,93.00150075037519,0.4126239255070686,2.65,86.82634730538922,0.4549958272413774,93.37168584292147,0.40897333323955537,2.65,87.36526946107784,0.45426871559836646,93.06153076538268,0.41188414841890336,2.65,86.94610778443113,0.45903159271587024,92.32616308154077,0.4183546170592308,2.65,86.40718562874251,0.4547022526914423,94.33716858429214,0.3939439460635185,2.65,76.86626746506985,0.5504044836217706,87.49874937468735,0.4658919468522072,2.65,79.74051896207585,0.5248108777132902,89.36968484242121,0.44611784890294076,2.65,75.32934131736526,0.5640066211873834,83.07653826913457,0.5096661292016507,2.65,87.32534930139721,0.4578463624824177,93.25662831415708,0.40516448840498925
3.65,87.02594810379242,0.4433960697867654,94.65732866433217,0.3921193040907383,3.65,87.28542914171656,0.44342938607389276,94.69734867433716,0.39102393537759783,3.65,87.0059880239521,0.44520154053514654,95.07753876938469,0.3875376425683498,3.65,87.32534930139721,0.4459204538301988,94.74737368684342,0.3913492411375046,3.65,87.02594810379242,0.4481210437687961,94.21710855427713,0.3966378465294838,3.65,85.249500998004,0.4579436779022217,96.06303151575788,0.37531867399811747,3.65,76.04790419161677,0.5319276072762229,90.26513256628314,0.4426026225090027,3.65,78.46307385229541,0.5256494256583127,90.80540270135067,0.4313901521265507,3.65,75.94810379241517,0.5653333284638145,85.3576788394197,0.49006747752428054,3.65,87.14570858283433,0.44533180648630316,95.37268634317158,0.3861298441886902
4.65,87.52495009980039,0.4354811825535514,96.21810905452726,0.3760269358754158,4.65,87.50499001996008,0.434843662110242,96.26813406703351,0.37494235560297967,4.65,86.96606786427145,0.43488587032664905,96.58829414707354,0.3719492360949516,4.65,87.7445109780439,0.43434399366378784,96.33816908454227,0.37478636428713796,4.65,87.42514970059881,0.43799806183034723,95.74787393696849,0.38077814877033234,4.65,85.46906187624751,0.44435335018418054,97.26863431715859,0.3607767030596733,4.65,75.1497005988024,0.5408061661503532,91.63581790895448,0.4254941903054714,4.65,78.48303393213573,0.5173287391662598,91.90595297648824,0.4211874522268772,4.65,74.47105788423154,0.5571401823650707,86.41320660330165,0.4742913588881493,4.65,86.82634730538922,0.44988537105647003,96.57328664332167,0.3717805467545986
5.65,87.46506986027944,0.4548172571442344,96.69834917458729,0.37055096179246905,5.65,87.46506986027944,0.4525093517520211,96.80840420210104,0.3693824037909508,5.65,87.14570858283433,0.4494231560013511,97.02851425712856,0.3664816625416279,5.65,87.62475049900199,0.45115006782791833,96.78339169584793,0.3692815124988556,5.65,87.36526946107784,0.4555660675872456,96.19309654827414,0.375288699567318,5.65,84.79041916167665,0.4635312557220459,97.99899949974987,0.3552601099014282,5.65,75.48902195608783,0.5313597402789376,92.60130065032516,0.41758923307061196,5.65,78.1437125748503,0.5140377201817252,92.24612306153077,0.4172971434891224,5.65,75.36926147704591,0.5582487637346442,87.59879939969986,0.4658576540648937,5.65,86.84630738522954,0.4373280785300515,97.1335667833917,0.3658089555799961
6.65,87.40518962075848,0.4569086649201133,96.75337668834418,0.3692150846123695,6.65,87.58483033932136,0.45548132874748926,96.88844422211106,0.3680674724280834,6.65,87.0059880239521,0.45657961747863074,97.14857428714357,0.36517354249954226,6.65,87.50499001996008,0.4542617906223644,96.91345672836418,0.36799264401197435,6.65,87.38522954091816,0.4519105851650238,96.3231615807904,0.3739506497979164,6.65,84.97005988023952,0.46141944419253955,98.07903951975987,0.35400550737977027,6.65,75.26946107784431,0.530396743254228,92.75637818909455,0.41542589366436006,6.65,78.1437125748503,0.5133985037153418,92.4112056028014,0.4153208017349243,6.65,75.30938123752495,0.5427566333250566,87.82891445722862,0.4639159105718136,6.65,86.88622754491018,0.43706732988357544,97.2136068034017,0.3643824324011803
7.65,87.46506986027944,0.4490113285454837,96.8784392196098,0.3680694803595543,7.65,87.56487025948104,0.4480049501765858,97.0535267633817,0.36689919903874396,7.65,87.1057884231537,0.44971535151655023,97.2736368184092,0.3640452019870281,7.65,87.46506986027944,0.4471567462791096,97.03851925962981,0.366849285364151,7.65,87.2055888223553,0.45311219041997736,96.47323661830916,0.37282405197620394,7.65,84.9500998003992,0.463806537064639,98.16908454227114,0.3528855912387371,7.65,75.22954091816368,0.5497901385480707,92.84642321160581,0.4135760687291622,7.65,77.92415169660678,0.5337276783856478,92.52126063031515,0.414152642339468,7.65,75.12974051896208,0.5473025007681414,87.95397698849425,0.46222094297409055,7.65,86.9061876247505,0.4473386379805478,97.2936468234117,0.3630660086870193
8.65,87.44510978043913,0.4356346401301297,97.01850925462732,0.36676105856895447,8.65,87.26546906187625,0.43566925688223407,97.13856928464232,0.3656254217028618,8.65,86.96606786427145,0.43844160437583923,97.3536768384192,0.36276032999157903,8.65,87.48502994011976,0.43398191983049567,97.11855927963983,0.36554243564605715,8.65,87.26546906187625,0.43848962675441394,96.58829414707354,0.37144139409065247,8.65,84.73053892215569,0.4531766284595836,98.24912456228114,0.3516957342624664,8.65,75.08982035928143,0.5469101884148337,93.09154577288645,0.41184663251042364,8.65,77.78443113772455,0.5265115824612704,92.64132066033017,0.41290570944547655,8.65,75.16966067864271,0.5519866130568765,88.14907453726863,0.4604916967451572,8.65,86.84630738522954,0.44709837436676025,97.41870935467733,0.3618724301457405
9.65,87.40518962075848,0.4361763461069627,97.08854427213606,0.36555548533797266,9.65,87.30538922155688,0.4337593100287698,97.24862431215608,0.3644224345684052,9.65,86.82634730538922,0.4361497326330705,97.46873436718359,0.36156425774097445,9.65,87.52495009980039,0.43651263280348346,97.18859429714857,0.364346806704998,9.65,87.12574850299401,0.4426291286945343,96.6583291645823,0.3702156119048595,9.65,84.61077844311377,0.4538011279973117,98.35417708854428,0.35049636140465734,9.65,75.16966067864271,0.5417013981125571,93.25662831415708,0.4101544708013535,9.65,77.76447105788424,0.5261656939983368,92.73636818409204,0.41185600087046625,9.65,75.0499001996008,0.5779015421867371,88.27913956978489,0.4590203493833542,9.65,86.88622754491018,0.46060602231459186,97.5087543771886,0.3605352357029915
