vocabulary_size_10000_x,vocabulary_size_10000_val_acc,vocabulary_size_10000_val_loss,vocabulary_size_10000_train_acc,vocabulary_size_10000_train_loss,vocabulary_size_25000_x,vocabulary_size_25000_val_acc,vocabulary_size_25000_val_loss,vocabulary_size_25000_train_acc,vocabulary_size_25000_train_loss,vocabulary_size_50000_x,vocabulary_size_50000_val_acc,vocabulary_size_50000_val_loss,vocabulary_size_50000_train_acc,vocabulary_size_50000_train_loss,vocabulary_size_100000_x,vocabulary_size_100000_val_acc,vocabulary_size_100000_val_loss,vocabulary_size_100000_train_acc,vocabulary_size_100000_train_loss,vocabulary_size_200000_x,vocabulary_size_200000_val_acc,vocabulary_size_200000_val_loss,vocabulary_size_200000_train_acc,vocabulary_size_200000_train_loss
0.65,70.17964071856288,0.6420506889169867,72.7063531765883,0.6253367826342583,0.65,71.55688622754491,0.6357037912715565,74.67233616808404,0.6127400860190392,0.65,70.6187624750499,0.6287084113467823,75.1375687843922,0.6081421136856079,0.65,69.68063872255489,0.6292919679121538,75.65782891445723,0.6031523302197457,0.65,70.43912175648703,0.6369076913053339,75.3576788394197,0.6077556982636452
1.65,78.1437125748503,0.5429041873325001,84.11705852926464,0.5010565899312496,1.65,78.72255489021956,0.5397739843888716,87.13856928464232,0.4777107037603855,1.65,77.78443113772455,0.5396071076393127,87.80390195097549,0.4694921724498272,1.65,74.39121756487026,0.558283962986686,89.21460730365183,0.45856526792049407,1.65,78.50299401197604,0.5377686673944647,88.90445222611305,0.46255736127495767
2.65,80.15968063872255,0.5223196203058417,89.2896448224112,0.45158763974905014,2.65,80.1996007984032,0.5186467712575739,92.73136568284141,0.42082213833928106,2.65,80.07984031936128,0.5227740569548174,93.991995997999,0.4074076868593693,2.65,74.93013972055888,0.5457569360733032,95.40270135067534,0.39316128119826316,2.65,79.68063872255489,0.5221371271393516,94.7823911955978,0.3991559103131294
3.65,80.05988023952096,0.5298203988508745,91.7608804402201,0.4255023203790188,3.65,79.42115768463074,0.5291059450669722,95.90295147573786,0.38767327591776846,3.65,79.8003992015968,0.5291518894108859,97.23861930965482,0.371893997490406,3.65,73.37325349301398,0.5776418610052629,98.07903951975987,0.35907709002494814,3.65,79.10179640718563,0.5340631983496926,97.79389694847424,0.36319678872823713
4.65,79.84031936127745,0.5384681170636957,93.49674837418709,0.4065003037452698,4.65,79.14171656686626,0.5423912514339794,97.52376188094047,0.36507023870944977,4.65,79.40119760479043,0.5413192348046736,98.60430215107554,0.35004470944404603,4.65,72.49500998003992,0.6011174104430459,99.2096048024012,0.3401655077934265,4.65,78.82235528942115,0.5434789413755591,98.92446223111556,0.34281014278531075
5.65,79.52095808383234,0.5127891085364602,94.28214107053527,0.40002920031547545,5.65,78.84231536926147,0.5127088508822701,98.27913956978489,0.3571432620286942,5.65,79.04191616766467,0.5103541016578674,99.1695847923962,0.3428418651223183,5.65,71.6566866267465,0.5703891488638791,99.5847923961981,0.3342631608247757,5.65,78.58283433133732,0.5179554982618852,99.45472736368184,0.3362882502377033
6.65,79.48103792415169,0.5210797840898688,94.41720860430215,0.3984187938272953,6.65,78.70259481037924,0.5226627019318667,98.44422211105552,0.3554590232670307,6.65,78.94211576846307,0.5242600440979004,99.27963981990996,0.3414746142923832,6.65,71.69660678642714,0.5830028761516918,99.61980990495248,0.33320299386978147,6.65,78.562874251497,0.5286177830262617,99.54977488744372,0.3351412437856197
7.65,79.2814371257485,0.520393737337806,94.59229614807404,0.39684107452630996,7.65,78.48303393213573,0.5203436775641008,98.54927463731866,0.3537392392754555,7.65,78.7624750499002,0.5208734571933746,99.31965982991495,0.34012560173869133,7.65,71.69660678642714,0.5763738588853315,99.66983491745873,0.33217660933732984,7.65,78.44311377245509,0.5240215279839255,99.59979989994997,0.33400739058852197
8.65,79.24151696606786,0.5123912339860742,94.64732366183091,0.39534290656447413,8.65,78.46307385229541,0.5111581032926386,98.59929964982491,0.35221503525972364,8.65,78.46307385229541,0.5090322657064958,99.39469734867434,0.3389414489269257,8.65,71.77644710578842,0.5681171796538613,99.73486743371686,0.33126148506999015,8.65,78.36327345309381,0.5109259486198425,99.64482241120561,0.3329809606075287
9.65,79.14171656686626,0.5105566626245325,94.83241620810405,0.39364222511649133,9.65,78.44311377245509,0.5144796777855266,98.71935967983993,0.350628712028265,9.65,78.62275449101796,0.5124114047397267,99.45472736368184,0.3376398079097271,9.65,71.69660678642714,0.6017561934211038,99.77488744372187,0.3302632950246334,9.65,78.38323353293413,0.5127307745543394,99.6648324162081,0.331889646500349
